ID,Name,Description,URL,Created,Types,Access Modes,Alt. Names / Keywords,Use Proxy,Friendly URL,Subjects,More Info,Map Ct,New,Trial,Featured,Permitted Uses
21456575,African American Historical Serials Collection,"Newspapers, magazines, reports, and annuals from various African American organizations including churches and educational and service institutions.","https://search.ebscohost.com/login.aspx?authtype=ip,uid&profile=ehost&defaultdb=h7i",5/10/16 14:59,Divinity Library,,,Yes,africanamericanhistorical,"African American and Diaspora Studies, Church/Religious History, History, Primary Sources",Coverage: 1816-1922.,18,No,No,No,
21456576,African American Music Reference,"Text and liner notes of blues, jazz, spirituals, civil rights songs, slave songs, minstrelsy, rhythm and blues, gospel, and other forms of black American musical expression.",https://search.alexanderstreet.com/aamr/?account_id=14816,5/10/16 14:59,Music Library,,Alexander Street,Yes,africanamericanmusic,"African American and Diaspora Studies, Music",,10,No,No,No,
21456577,African American Newspapers (Accessible Archives),"This database of eight African-American Newspapers provides information about cultural life and history during the 1800s and reports on major events and issues of the day. Newspapers are:The Christian Recorder (1861–1902), The Colored American (1837–1841), Frederick Douglass’ Paper (1851–1855; 1859–1863) , Freedom’s Journal (1827–1829), The National Era (1847–1860), The North Star (1847–1851), Provincial Freeman (1854–1857), Weekly Advocate (1837–1837);",https://history-commons.net/modules/aanc/,5/10/16 14:59,,,,Yes,africanamericannews-aa,"African American and Diaspora Studies, History, News and Newspapers",,52,No,No,No,
21456578,African American Newspapers (ProQuest),"Primary source material for the study of American history and African-American culture, history, politics, and the arts. Includes: Atlanta Daily World (1931-2003), Baltimore Afro-American (1893-1988), Chicago Defender (1909-1975), New York Amsterdam News (1922-1993), Los Angeles Sentinel (1934-2005), Norfolk Journal and Guide (1916-2003), The Philadelphia Tribune (1912-2001), and Pittsburgh Courier (1911-2002).","https://www.proquest.com/?accountid=14816&selectids=1005880,1007272,1005879,1005877,1005671,1005670,1005878,1005672",5/10/16 14:59,,,ProQuest Historical Newspapers -- Black Newspapers,Yes,africanamericannews-proquest,"African American and Diaspora Studies, News and Newspapers",Coverage: Varies by newspaper.,43,No,No,No,
21456579,African American Newspapers (Readex),"Extensive African American newspaper archives. Includes the Wisconsin Historical Society, Kansas State Historical Society, Freedom's Journal (NY), The Colored Citizen (OH), Rights of All (NY), Wisconsin Afro-American, New York Age, Virginia Journal and Alexandria Advertiser, Richmond Planet, Cleveland Gazette, The Appeal (MN), etc.",https://infoweb.newsbank.com/?db=EANX&d_collections=EANAAA%7CEANAAA2,5/10/16 14:59,,,1827-1998 newsbank,Yes,africanamericannews-readex,"African American and Diaspora Studies, History, News and Newspapers",Coverage: 1827-1998.,105,No,No,No,
21456580,African American Periodicals,"Holdings of the Wisconsin Historical Society. Based upon James P. Danky's African-American Newspapers and Periodicals: A National Bibliography (Harvard, 1998).",https://infoweb.newsbank.com/?db=EAPX,5/10/16 14:59,,,African-American Periodicals Readex Newsbank,Yes,africanamericanperiodicals,"African American and Diaspora Studies, History",Coverage: 1825-1995.,92,No,No,No,
43017600,Age of Exploration,"Explore five centuries of journeys across the globe, scientific discoveries, the expansion of European colonialism, conflict over territories and trade routes, the discovery of the Northwest and Northeast Passages, and the race for the Poles. Features an in-depth interactive visualization of over 50 influential voyages.",https://www.exploration.amdigital.co.uk/,7/11/18 15:30,Alumni,,Adam Matthew,Yes,ageexploration,"Economics, History, Primary Sources",Coverage: 1410-1920.,5,No,No,No,
21456581,AGRICOLA,"National Agricultural Library's catalog. Publications and resources encompassing all aspects of agriculture and allied disciplines, including animal and veterinary sciences, entomology, plant sciences, forestry, aquaculture and fisheries, farming and farming systems, agricultural economics, extension and education, food and human nutrition, and earth and environmental sciences.",https://search.nal.usda.gov/discovery/search?vid=01NAL_INST:MAIN,5/10/16 14:59,Biomedical Library;Science and Engineering Library,,AGRICultural OnLine Access,No,agricola,"Biological Sciences, Biomedical/Health Sciences, Government Information, Latin American Studies",,9,No,No,No,
43017602,AILALink,"Immigration law library. Access to several AILA publications, including Kurzban's Immigration Law Sourcebook. Also includes up-to-date legislative and regulatory information and fillable immigration forms",http://ailalink.aila.org,7/11/18 15:30,Law Library,,AILA Link,Yes,ailalink,Law,,4,No,No,No,
75577203,Ainosco Search,"Provides access to a full-text search across book content and full access to specific ebooks published in Taiwan, Mainland China, Hong Kong, and Macau.",https://www.ainoscosearch.com/,2/23/24 15:20,,,,Yes,ainosco,Asian Studies,,3,No,No,No,
59621707,Airiti Library = 華藝線上圖書館,"Publication in Taiwan platform, including Airiti iRead eBooks, Chinese Electronic Theses and Dissertation Service, Taiwan Electronic Periodical Services and National Palace Museum publications.",https://www.airitilibrary.com/,1/26/21 15:14,,,"華藝線上圖書館, Hua yi xian shang tu shu guan, TEPS, iRead",Yes,airiti,Asian Studies,User guides: https://www.airitilibrary.com/Home/Teaching,2,No,No,No,
21456584,Alim,Key Islamic documents in both Arabic and English. Audio recordings of the Qur’an.,http://www.alim.org/,5/10/16 14:59,Divinity Library,,,No,alim,Religious Studies,,0,No,No,No,
21456585,Almanac of American Politics (AAP),"Biographical and political summaries of elected officials, campaign expenditures, voting records, interest-group ratings, and congressional staff look-ups. In-depth overviews of each state and house district, demographic data, analysis of voting trends, and political histories.",http://www.nationaljournal.com/almanac/,5/10/16 14:59,,,AAP National Journal Almanac (NJA),Yes,almanacamericanpolitics,"Government Information, Political Science",Coverage: We have access to current member information only.;,2,No,No,No,
66751017,Almanac of the Federal Judiciary,"Judicial profiles of every federal judge and key bankruptcy judges and magistrate judges. Profiles are based on interviews with lawyers who have argued cases before the federal judiciary. Entries cover judge's academic and professional background, experience on the bench, noteworthy rulings, and media coverage, and commentary by lawyers.  Also includes helpful tips for shaping case strategy, insights into each judge's style, demeanor, knowledge, and management of courtroom proceedings.",https://almanacofthefederaljudiciary.com/dashboard,5/6/22 10:23,Law Library,,,Yes,almanacfederaljudiciary,Law,,0,No,No,No,
15465064,Alt-PressWatch,"Newspapers, magazines, and journals covering cultural, economic, political & social change. Highly recommended comprehensive guide to alternative sources of information. Coverage is international and interdisciplinary.",https://www.proquest.com/altpresswatch?accountid=14816,8/27/15 14:13,Peabody Library,,Alt-PressWatch (Alt Press Watch),Yes,altpresswatch,"Communication Studies, Gender and Sexuality Studies, Latinx Studies, Political Science",Coverage: 1970 to present.,21,No,No,No,
26038200,AMA FREIDA,"Information for graduate medical education programs, physician workforce information, and statistics on numerous specialty and sub-specialty programs. Search by specialty, state, keywords, or training institution.",https://freida.ama-assn.org/,10/13/16 16:09,Biomedical Library,,American Medical Association Fellowship and Residency Electronic Interactive Database Fellowship and Residency Electronic Interactive Database,No,amafreida,Biomedical/Health Sciences,,0,No,No,No,
26038201,AMA Information for Patients,"Health information for both physician and patient, and access to the AMA library. Includes: AMA Doctor Finder, links to medical reference web sites, a medical student section, and a SmartParents' Health Source email newsletter of current pediatric news.;",http://www.ama-assn.org/ama/pub/patients/patients.page?,10/13/16 16:09,Biomedical Library,,,No,amainfopatients,Biomedical/Health Sciences,,0,No,No,No,
35491316,AMA Manual of Style,Style guide for medical and scientific publishing.,https://www.amamanualofstyle.com,9/5/17 13:09,Biomedical Library,,american medical association,Yes,amamanualstyle,"Biomedical/Health Sciences, Nursing",,5,No,No,No,
49089760,America in World War Two: Oral Histories and Personal Accounts,"Oral histories, correspondence, diaries, photographs, artifacts, and military records of American military personnel and civilians show how World War Two changed American society and the economy, how it impacted individuals and their families, and the legacy of the war in human terms.",http://www.americainworldwartwo.amdigital.co.uk,7/16/19 12:42,Alumni,,Adam Matthew,Yes,americaworldwartwo,Primary Sources,,13,No,No,No,
21456587,America: History and Life,"Index of literature covering the history and culture of the United States and Canada. Journal articles, book titles, book reviews, and dissertations.;;",https://research.ebsco.com/c/izd5k3?db=ahl,5/10/16 14:59,,,AHL EBSCO Interface america history and life,Yes,americahistorylife,"Economics, Gender and Sexuality Studies, History, Islamic Studies, Jewish Studies, Latin American Studies, Political Science",Coverage: 1910 to present.;,392,No,No,No,
21456603,America's Historical Newspapers,"Cover-to-cover reproductions of early American newspapers offers an unprecedented look back into the history of the United States—the story of its people, ideals, commerce, and everyday life. Includes the following collections: African American Newspapers Series 1 & 2, American Religion: Denominational Newspapers, Caribbean Newspapers, Early American Newspapers, Series 1: From Colonies to Nation Early American Newspapers, Series 2: The New Republic, Early American Newspapers: 1690-1789, Early American Newspapers: 1780-1789, and Hispanic American Newspapers.",https://infoweb.newsbank.com/?db=EANX,5/10/16 14:59,,,readex newsbank,Yes,americashistoricalnewspapers,History,,87,No,No,No,
21456589,"American Bibliography of Slavic, East European, and Eurasian Studies (ABSEEES)",Information on East-Central Europe and the former Soviet Union.,"https://search.ebscohost.com/login.aspx?authtype=ip,uid&profile=ehost&defaultdb=sbh",5/10/16 14:59,,,ABSEEES ABSEES,Yes,slaviceasteuropeaneurasian,Russian,Coverage: 1989 to present.,2,No,No,No,
21456590,American Chemical Society Publications,American Chemical Society's peer-reviewed research journals in chemical and related sciences.,http://pubs.acs.org/about.html,5/10/16 14:59,Biomedical Library;Science and Engineering Library,,acs,Yes,americanchemicalsociety,"Biomedical/Health Sciences, Chemistry, Engineering, Nursing",,6,No,No,No,
21456591,American Community Survey (ACS),"Annual United States survey of population and housing. Covers age, race, income, commute time to work, home value, veteran status, and other important data.",https://www.census.gov/programs-surveys/acs/,5/10/16 14:59,Alumni;Peabody Library;Alumni - Management Library,,ACS,No,americancommunitysurvey,"Datasets and Statistics, Government Information, Political Science",,1,No,No,No,
35186737,"American Fiction, 1774-1920",Full-text of prose fiction written by Americans. Visualization tool to analyze term frequency.,https://link.gale.com/apps/AMFN?u=nash87800,8/24/17 12:48,,,,Yes,americanfiction,English,,1,No,No,No,
48466397,American Historical Periodicals from the American Antiquarian Society Series 1-5,"Documentary history of the American experience spanning four centuries with multiple perspectives on the thought, culture, and society of North America. These periodicals present history through the eyes of those who experienced it, showing its impact on citizens from all walks of life.",https://link.gale.com/apps/AAHP?u=nash87800,5/30/19 10:47,,,AAS Historical Periodicals Collection,Yes,americanhistoricalperiodicals,Primary Sources,Coverage: 1693-1877.,0,No,No,No,
43017605,"American History, 1493-1945",Primary source documents from the Gilder Lehrman Institute of American History that cover the major themes of American History.,http://www.americanhistory.amdigital.co.uk/,7/11/18 15:30,Alumni,,Adam Matthew,Yes,americanhistory,"History, Primary Sources",Coverage: 1493-1945.,37,No,No,No,
7283210,American Hospital Directory,"Lists of hospitals according to ownership, services provided, size, volumes, market area, etc. Search results and hospital reports can be viewed online and downloaded in Excel or PDF formats. Click on login once in the database to access full functionality. Be sure to click logout and close browser when done using resource. Use of this content for any purposes other than education is strictly prohibited.",https://www.ahd.com/,12/16/14 12:37,Management Library,,AHD,Yes,americanhospitaldirectory,"Biomedical/Health Sciences, Business, Business: Health Care Management",,3,No,No,No,
44784361,American Indian Newspapers,"National periodicals as well as local community news and student publications covering subjects from an Indigenous perspective, including the civil rights era and American Indian Movement (AIM), education, environmentalism, land rights, and cultural representation.",http://www.americanindiannewspapers.amdigital.co.uk/,10/4/18 12:07,Alumni,,Adam Matthew,Yes,americanindiannewspapers,Primary Sources,Coverage: 1828-2016 (bulk of material from 1970-2016).,32,No,No,No,
21456595,American Memory,"Written and spoken words, sound recordings, still and moving images, prints, maps, and sheet music that document the American experience.",http://memory.loc.gov/ammem/index.html,5/10/16 14:59,,,library of congress,No,americanmemory,"Anthropology, Art, Communication Studies, General, History, Law: Legal History, Political Science, Primary Sources",,55,No,No,No,
21456597,American National Biography Online,"Biographical essays profiling people from all periods of American history and culture.  Bibliographic information, some illustrations, and online resources are included.",https://www.anb.org/,5/10/16 14:59,,,,Yes,americannationalbiography,"General, History",,23,No,No,No,
21456598,American Periodicals,"Special interest and general magazines, literary and professional journals, children's and women's magazines and many other historically-significant periodicals. Includes Ladies' Home Journal, Harper's, and professional journals.",https://search.proquest.com/americanperiodicals?accountid=14816,5/10/16 14:59,,,,Yes,americanperiodicals,"Church/Religious History, History",Coverage: 1740-1940.,167,No,No,No,
21456599,American President: A Reference Resource,"Information on presidents and first ladies, biographies of each cabinet member, listings of presidential staff and advisers, and timelines detailing significant events in the lives of each administration. Audio and video since Kennedy is also available.",https://millercenter.org/the-presidency,5/10/16 14:59,,,Presidency in History,No,americanpresident,"History, Political Science",,6,No,No,No,
35186768,American Religion: Denominational Newspapers,"Historical newspapers covering religious news, and the role religion played in 19th-century American life and society.",https://infoweb.newsbank.com/?db=EANX&d_collections=EANAARDN,8/24/17 12:49,Divinity Library,,newsbank readex,Yes,americanreligion,"Church/Religious History, Religious Studies",,22,No,No,No,
21456602,"American State Papers, 1789-1838","Congressional and Executive Department publications. Speeches and messages of Presidents Washington, Adams, Jefferson, and Madison.",http://infoweb.newsbank.com/?db=ASPA&s_startsearch=customized,5/10/16 14:59,,,newsbank readex,Yes,americanstatepapers,"Government Information, History, Law: Legal History, Political Science",,13,No,No,No,
43017611,American West,"Original manuscripts, maps, ephemeral material, and rare printed sources from the Everett D. Graff Collection at the Newberry Library cover social, political, and economic aspects of the American West. Explore tales of frontier life, Indigenous Peoples, the growth of urban centers, and the environmental impact of westward expansion.",http://www.americanwest.amdigital.co.uk/,7/11/18 15:30,Alumni,,Adam Matthew,Yes,americanwest,"History, Primary Sources",Coverage: Early 18th to Mid-20th Century.,20,No,No,No,
21456604,Année Philologique,"lndex for research in Classics. Entries cover articles, books, book reviews, Festschrifte, and other collections dealing with the ancient Greek and Roman world, from the second millennium BCE to approximately 800 CE.",https://apps.brepolis.net/LTool/Entrance.aspx?w=38,5/10/16 14:59,Divinity Library,,L'Annee philologique  Lannee aph,Yes,annaephilologique,"Biblical Studies, Church/Religious History, Classics, Philosophy, Religious Studies",,47,No,No,No,
21456605,"Annual Bibliography of English Language and Literature, 1920- (ABELL)","Bibliographical listing of monographs, periodical articles, critical editions of literary works, book reviews, collections of essays and doctoral dissertations about English language, literature, and culture published anywhere in the world. Literature: poetry, prose, fiction, films, biography, travel writing, literary theory, and studies of individual writers. English culture: custom, belief, narrative, song, dance, and material culture.",https://www.proquest.com/abell?accountid=14816,5/10/16 14:59,,,ABELL,Yes,abell,English,Coverage: 1920 to present.,21,No,No,No,
21456606,Annual Reviews,"Critical reviews written by leading scientists in the biomedical, life, physical, and social sciences including economics. Annual Reviews are highly cited in ISI's Journal Citation Reports.",http://www.annualreviews.org/,5/10/16 14:59,,,online,Yes,annualreviews,Economics,Coverage: 1930 to present.,12,No,No,No,
9166826,Anthropology Plus,"Index to journal articles, reports, commentaries, edited works, and obituaries in the fields of social, cultural, physical, biological, and linguistic anthropology, ethnology, archaeology, folklore, material culture, and interdisciplinary studies. Includes materials published in English and European languages from the late 19th century to the present. Compilation of the Royal Anthropological Institute’s Anthropological Index and Harvard University's Anthropological Literature databases.","https://search.ebscohost.com/login.aspx?authtype=ip,uid&profile=ehost&defaultdb=ant",3/12/15 14:33,,,,Yes,anthropologyplus,"Anthropology, Latin American Studies, Medicine, Health and Society",,75,No,No,No,
21456607,AnthroSource,"Archive of all journals, newsletters, and bulletins of the American Anthropological Association.",https://anthrosource.onlinelibrary.wiley.com/,5/10/16 14:59,,,aaa,Yes,anthrosource,"Anthropology, Latin American Studies, Medicine, Health and Society",,46,No,No,No,
21456608,AP Newsroom,"Associated Press photographs, audio, graphics, news stories, and headlines.","https://search.ebscohost.com/login.aspx?authtype=ip,uid&groupid=main&custid=s8863559&profile=apnr",5/10/16 14:59,Peabody Library,,AccuNet/AP Multimedia Archive associated press Images,Yes,apimages,"Gender and Sexuality Studies, General, Latin American Studies, News and Newspapers, Political Science",,42,No,No,No,
43017616,Apartheid South Africa,"British Foreign Office files on the apartheid Governments of South Africa. These formerly restricted documents, sourced from The National Archives, UK, provide unprecedented levels of detail, with in-depth analysis of events, international reaction and policy dilemmas, accompanied by numerous first-hand accounts and reports.",https://www.apartheidsouthafrica.amdigital.co.uk,7/11/18 15:30,Alumni,,Adam Matthew,Yes,apartheid,"African American and Diaspora Studies, History, Primary Sources",Coverage: 1948-1980.,12,No,No,No,
21457157,"Archives of Latin American and Caribbean History, Sixteenth to Twentieth Century",Primary source documents about Latin America and the Caribbean covering current issues and events as well as  historical events back to the colonial period.,https://link.gale.com/apps/LACH?u=nash87800,5/10/16 14:59,,,World Scholar,Yes,latinamericancaribbeanhistory,"Latin American Studies, Primary Sources",,15,No,No,No,
35186838,Archives of Sexuality & Gender,"Mainstream and alternative gay and lesbian newspapers, newsletters, and periodicals from several countries, reports, policy statements, and other documents related to gay rights and health, including the worldwide impact of AIDS, materials tracing LGBTQ activism in Britain, etc.",https://link.gale.com/apps/AHSI?u=nash87800,8/24/17 12:52,,,LGBTQ History and Culture Since 1940,Yes,archivessexualitygender,"Anthropology, Gender and Sexuality Studies, History, Primary Sources",Coverage: 1940-.,28,No,No,No,
26038202,Archives Unbound,"•  ""We Were Prepared for the Possibility of Death:"" Freedom Riders in the South, 1961•  African America, Communists, and the National Negro Congress, 1933-1947•  Black Economic Empowerment: The National Negro Business League•  Black Liberation Army and the Program of Armed Struggle•  Black Nationalism and the Revolutionary Action Movement: The Papers of Muhammad Ahmad (Max Stanford)•  Bush Presidency and Development and Debate Over Civil Rights Policy and Legislation•  European Colonialism in the Early 20th Century: French Colonialism in Africa: From Algeria to Madagascar, 1910-1930•  Chinese Maritime Customs Service: The Customs’ Gazette, 1869-1913•  European Colonialism in the Early 20th Century: German Colonies to League of Nations Mandates in Africa 1910-1929•  European Colonialism in the Early 20th Century: Political and Economic Consolidation of Portuguese Colonies in Africa, 1910-1929•  FBI Surveillance of James Forman and SNCC•  Fannie Lou Hamer: Papers of a Civil Rights Activitist, Political Activist, and Woman•  Federal Surveillance of African Americans, 1920-1984•  Fight for Racial Justice and the Civil Rights Congress•  Franklin D. Roosevelt and Race Relations, 1933-1945•  Grassroots Civil Rights & Social Activism: FBI Files on Benjamin J. Davis, Jr•  Greensboro Massacre, 1979: Shootout between the American Nazis and the Communist Workers Party•  Integration of Alabama Schools and the U.S. Military, 1963•  James Meredith, J. Edgar Hoover, and the Integration of the University of Mississippi•  Liberation Movement in Africa and African America•  Liberia and the U.S.: Nation-Building in Africa, 1864-1918•  Liberia and the U.S.: Nation-Building in Africa, 1918-1935•  The Minutes of the Shanghai Municipal Council, 1854-1943•  Papers of Amiri Baraka, Poet Laureate of the Black Power Movement•  Policing the Shanghai International Settlement, 1894-1945•  Quest for Labor Equality in Household Work: National Domestic Workers Union, 1965-1979•  Ralph J. Bunche Oral Histories Collection on the Civil Rights Movement•  Rastafari Ephemeral Publications from the Written Rastafari Archives Project•  Shanghai Municipal Council: The Municipal Gazette, 1908-1940•  Republic of New Afrika•  SUR, 1931-1992•  Southern Negro Youth Congress and the Communist Party: Papers of James and Esther Cooper Jackson",https://link.gale.com/apps/GDSC?u=nash87800,10/13/16 16:09,,,Archives Unbound We Were Prepared for the Possibility of Death: Freedom Riders in the South,Yes,archivesunbound,"African American and Diaspora Studies, Asian Studies, History, Primary Sources",,94,No,No,No,
21456610,Art Full Text and Art Index Retrospective,"Comprehensive resource for art literature: articles, indexing and abstracting of journals, and art dissertations; covering fine, decorative, and commercial art, folk art, photography, film, and architecture. Includes indexing of publications, and citations of book reviews. Indexing of art reproductions provides examples of styles and art movements, including works by emerging artists.","https://search.ebscohost.com/login.aspx?authtype=ip,uid&profile=ehost&defaultdb=aft&defaultdb=air",5/10/16 14:59,,,,Yes,artfullindex,"Anthropology, Art, Classics, Latin American Studies",Coverage: 1929 to present.;,97,No,No,No,
